trade_date,close,source_id,actual_dividend_count,actual_dividend_sum_hkd,latest_monthly_dividend_hkd,annualized_dividend_hkd,annualized_dividend_yield,annualized_dividend_yield_pct
2025-04-07,13.57,tencent_finance,0,0,,,,
2025-04-08,13.71,tencent_finance,0,0,,,,
2025-04-09,13.88,tencent_finance,0,0,,,,
2025-04-10,14.04,tencent_finance,0,0,,,,
2025-04-11,14.2,tencent_finance,0,0,,,,
2025-04-14,14.48,tencent_finance,0,0,,,,
2025-04-15,14.53,tencent_finance,0,0,,,,
2025-04-16,14.4,tencent_finance,0,0,,,,
2025-04-17,14.47,tencent_finance,0,0,,,,
2025-04-22,14.56,tencent_finance,0,0,,,,
2025-04-23,14.75,tencent_finance,0,0,,,,
2025-04-24,14.6,tencent_finance,0,0,,,,
2025-04-25,14.62,tencent_finance,0,0,,,,
2025-04-28,14.82,tencent_finance,0,0,,,,
2025-04-29,14.82,tencent_finance,0,0,,,,
2025-04-30,14.8,tencent_finance,0,0,,,,
2025-05-02,14.74,tencent_finance,1,0.09,0.09,1.08,0.07327001356852103,7.327001356852103
2025-05-06,15.02,tencent_finance,1,0.09,0.09,1.08,0.0719041278295606,7.19041278295606
2025-05-07,15.0,tencent_finance,1,0.09,0.09,1.08,0.07200000000000001,7.200000000000001
2025-05-08,15.01,tencent_finance,1,0.09,0.09,1.08,0.07195203197868089,7.195203197868088
2025-05-09,15.16,tencent_finance,1,0.09,0.09,1.08,0.0712401055408971,7.12401055408971
2025-05-12,15.45,tencent_finance,1,0.09,0.09,1.08,0.06990291262135923,6.990291262135923
2025-05-13,15.46,tencent_finance,1,0.09,0.09,1.08,0.06985769728331177,6.985769728331177
2025-05-14,15.73,tencent_finance,1,0.09,0.09,1.08,0.06865861411315957,6.865861411315957
2025-05-15,15.62,tencent_finance,1,0.09,0.09,1.08,0.06914212548015365,6.9142125480153656
2025-05-16,15.53,tencent_finance,1,0.09,0.09,1.08,0.06954282034771411,6.954282034771412
2025-05-19,15.56,tencent_finance,1,0.09,0.09,1.08,0.06940874035989718,6.940874035989718
2025-05-20,15.8,tencent_finance,1,0.09,0.09,1.08,0.06835443037974684,6.8354430379746836
2025-05-21,15.9,tencent_finance,1,0.09,0.09,1.08,0.06792452830188679,6.7924528301886795
2025-05-22,15.84,tencent_finance,1,0.09,0.09,1.08,0.06818181818181819,6.818181818181819
2025-05-23,15.85,tencent_finance,1,0.09,0.09,1.08,0.06813880126182965,6.813880126182966
2025-05-26,15.98,tencent_finance,1,0.09,0.09,1.08,0.06758448060075094,6.758448060075094
2025-05-27,15.92,tencent_finance,1,0.09,0.09,1.08,0.0678391959798995,6.78391959798995
2025-05-28,15.97,tencent_finance,1,0.09,0.09,1.08,0.06762680025046963,6.762680025046963
2025-05-29,16.01,tencent_finance,1,0.09,0.09,1.08,0.0674578388507183,6.7457838850718295
2025-05-30,15.97,tencent_finance,1,0.09,0.09,1.08,0.06762680025046963,6.762680025046963
2025-06-02,15.69,tencent_finance,2,0.19,0.1,1.19,0.07584448693435308,7.584448693435308
2025-06-03,16.0,tencent_finance,2,0.19,0.1,1.19,0.074375,7.4375
2025-06-04,16.03,tencent_finance,2,0.19,0.1,1.19,0.074235807860262,7.4235807860262
2025-06-05,16.1,tencent_finance,2,0.19,0.1,1.19,0.07391304347826086,7.391304347826086
2025-06-06,16.14,tencent_finance,2,0.19,0.1,1.19,0.07372986369268897,7.372986369268897
2025-06-09,16.11,tencent_finance,2,0.19,0.1,1.19,0.07386716325263812,7.386716325263812
2025-06-10,16.22,tencent_finance,2,0.19,0.1,1.19,0.07336621454993834,7.336621454993835
2025-06-11,16.5,tencent_finance,2,0.19,0.1,1.19,0.07212121212121211,7.212121212121211
2025-06-12,16.43,tencent_finance,2,0.19,0.1,1.19,0.07242848447961046,7.242848447961046
2025-06-13,16.78,tencent_finance,2,0.19,0.1,1.19,0.07091775923718711,7.0917759237187115
2025-06-16,16.78,tencent_finance,2,0.19,0.1,1.19,0.07091775923718711,7.0917759237187115
2025-06-17,16.72,tencent_finance,2,0.19,0.1,1.19,0.07117224880382775,7.117224880382775
2025-06-18,16.67,tencent_finance,2,0.19,0.1,1.19,0.07138572285542891,7.138572285542891
2025-06-19,16.32,tencent_finance,2,0.19,0.1,1.19,0.07291666666666666,7.291666666666666
2025-06-20,16.38,tencent_finance,2,0.19,0.1,1.19,0.07264957264957266,7.264957264957266
2025-06-23,16.6,tencent_finance,2,0.19,0.1,1.19,0.0716867469879518,7.16867469879518
2025-06-24,16.8,tencent_finance,2,0.19,0.1,1.19,0.07083333333333333,7.083333333333333
2025-06-25,16.95,tencent_finance,2,0.19,0.1,1.19,0.07020648967551622,7.020648967551622
2025-06-26,16.97,tencent_finance,2,0.19,0.1,1.19,0.07012374779021803,7.012374779021803
2025-06-27,16.94,tencent_finance,2,0.19,0.1,1.19,0.07024793388429751,7.024793388429751
2025-06-30,16.93,tencent_finance,2,0.19,0.1,1.19,0.0702894270525694,7.02894270525694
2025-07-02,17.15,tencent_finance,3,0.29,0.1,1.19,0.06938775510204082,6.938775510204081
2025-07-03,17.32,tencent_finance,3,0.29,0.1,1.19,0.0687066974595843,6.87066974595843
2025-07-04,17.4,tencent_finance,3,0.29,0.1,1.19,0.06839080459770115,6.839080459770115
2025-07-07,17.35,tencent_finance,3,0.29,0.1,1.19,0.0685878962536023,6.85878962536023
2025-07-08,17.28,tencent_finance,3,0.29,0.1,1.19,0.06886574074074073,6.886574074074073
2025-07-09,17.19,tencent_finance,3,0.29,0.1,1.19,0.0692262943571844,6.92262943571844
2025-07-10,17.25,tencent_finance,3,0.29,0.1,1.19,0.06898550724637681,6.898550724637681
2025-07-11,17.39,tencent_finance,3,0.29,0.1,1.19,0.0684301322599195,6.84301322599195
2025-07-14,17.54,tencent_finance,3,0.29,0.1,1.19,0.06784492588369441,6.784492588369441
2025-07-15,17.54,tencent_finance,3,0.29,0.1,1.19,0.06784492588369441,6.784492588369441
2025-07-16,17.49,tencent_finance,3,0.29,0.1,1.19,0.06803887935963408,6.803887935963409
2025-07-17,17.46,tencent_finance,3,0.29,0.1,1.19,0.06815578465063,6.815578465063001
2025-07-18,17.53,tencent_finance,3,0.29,0.1,1.19,0.06788362806617226,6.788362806617227
2025-07-21,17.88,tencent_finance,3,0.29,0.1,1.19,0.06655480984340045,6.655480984340045
2025-07-22,18.15,tencent_finance,3,0.29,0.1,1.19,0.06556473829201102,6.556473829201102
2025-07-23,18.15,tencent_finance,3,0.29,0.1,1.19,0.06556473829201102,6.556473829201102
2025-07-24,18.35,tencent_finance,3,0.29,0.1,1.19,0.064850136239782,6.4850136239782
2025-07-25,18.33,tencent_finance,3,0.29,0.1,1.19,0.06492089470812876,6.492089470812876
2025-07-28,18.32,tencent_finance,3,0.29,0.1,1.19,0.06495633187772926,6.495633187772926
2025-07-29,18.45,tencent_finance,3,0.29,0.1,1.19,0.06449864498644986,6.4498644986449865
2025-07-30,18.43,tencent_finance,3,0.29,0.1,1.19,0.06456863809007053,6.456863809007054
2025-07-31,18.11,tencent_finance,3,0.29,0.1,1.19,0.06570955273329653,6.570955273329653
2025-08-01,17.79,tencent_finance,4,0.4,0.11,1.28,0.07195053400786959,7.195053400786959
2025-08-04,17.91,tencent_finance,4,0.4,0.11,1.28,0.07146845337800112,7.146845337800112
2025-08-05,18.02,tencent_finance,4,0.4,0.11,1.28,0.07103218645948946,7.103218645948946
2025-08-06,18.14,tencent_finance,4,0.4,0.11,1.28,0.07056229327453142,7.056229327453142
2025-08-07,18.36,tencent_finance,4,0.4,0.11,1.28,0.06971677559912855,6.971677559912854
